,Name,Type,Consistent,Bright,Evolves,Dynamic,Consistency,Brightness,Evolution,Dynamics,OscillatorWaveShape,OscillatorOct,OscillatorSemi,OscillatorDetune,FilterCutoffFrequency,FilterLFOCutoffMod,FilterEnvCutoffMod,LFOSpeed,LFOFadeIn,OscillatorWaveShape2,OscillatorOct2,OscillatorSemi2,OscillatorDetune2,AttackTime,DecayTime,SustainLevel,SustainTime,ReleaseTime,AttackTime2,DecayTime2,SustainLevel2,SustainTime2,ReleaseTime2,VibratoSpeed,VibratoAmount,KeyboardUnison,KeyboardUnisonToggle,KeyboardDetune
101,17_05_808_10,808,False,True,False,False,0.3,0.6,0.5,0.3,0,-3,0,0.1984127015,0.7395293117,0.5,0.6380457878,0.3492063582,0,0,-2,0,0.8013857007,0,0.3998488486,0.3671091199,1,0.5968104601,0,0.400000006,0.3636363745,1,0.5968104601,0.609375,0.6484375,0,true,0.46875
102,17_05_Pluck_14,Pluck,False,True,True,False,0.5,0.7,0.5,0.3,1,1,0,0.334168762,0.788167119,0.6072223783,0.6380457878,0.4936411679,0,0,2,0,0.6658312082,0,0.4776254296,0.2282035798,1,0.5947558284,0,0.4776254296,0.2282035798,1,0.5947558284,0.3612580001,0.4199999869,0,true,0.1989999861
103,17_05_808_06,808,False,False,True,False,0.1,0.3,0.9,0.1,0,-3,0,0.2380952388,0.5277200341,0.9348963499,0.59375,0.8015872836,0,0,-2,0,0.7614064217,0.1090909094,0.4601822793,0.06945326179,1,0.4570820928,0.108465828,0.4601822793,0.06945326179,1,0.4570820928,0.5761497021,0.6399999857,0,true,0.40625
104,17_05_Pluck_02,Pluck,False,False,False,False,0.1,0.0,0.0,0.7,1,1,0,0.7539682388,0.21875,0,0.765625,0,0,0,2,0,0.2460317463,0,0.3998488486,0.3671091199,1,0.3099362254,0,0.400000006,0.3636363745,1,0.3090909123,0.5761497021,0.6399999857,0,true,0.3799999952
105,04_05_Pluck_01,Pluck,False,False,False,False,0.3,0.2,0.0,0.0,1,1,0,0.7020726204,0.4603174627,0,0.6380457878,0.5,0,0,2,0,0.3215810061,0,0.3998488486,0.3671091199,1,0.3099362254,0,0.400000006,0.3636363745,1,0.3090909123,0.5761497021,0.5899999738,0,true,0.5024999976
106,18_05_Bass_15,Bass,True,False,False,False,0.9,0.2,0.1,0.4,0,-3,0,0.400000006,0.5071793199,0.2934673131,0.5072969198,0.1183643416,0,1,-2,0,0.6000000238,0.292507261,0.5395618081,0.3869529068,1,0.6447850466,0.09765061736,0.4722285271,0.0892970562,1,0.4876755178,0.1577323675,0.2299999893,0,true,0.1199999973
107,18_05_Lead_08,Lead,False,False,True,False,0.3,0.4,0.7,0.4,1,0,0,0.3220486939,0.6746031642,0.364534229,0.5139184594,0.2367373705,0,1,0,0,0.6779513359,0.5860513449,0.5318486691,0.3869529068,1,0.6391475797,0.5860513449,0.5318486691,0.3869529068,1,0.6391475797,0.4426682889,0.5799999833,0,true,0.2800000012
108,17_05_Pluck_38,Pluck,True,True,True,True,0.8,0.9,1.0,1.0,1,1,0,0.3845299482,0.9693186283,1,0.6862202883,0.8226940632,0,0,2,0,0.6154700518,0,0.6328125,0.889126718,1,0.7692767382,0,0.6328125,0.889126718,1,0.7692767382,0.2086137533,0.2899999917,0,true,0.1480000019
109,17_05_Pluck_39,Pluck,True,True,True,True,0.6,1.0,0.7,0.7,1,1,0,0.3615562618,0.9964368939,1,0.6153401732,0.8255981207,0,0,2,0,0.6384437084,0,0.5917359591,0.6169843674,1,0.7117366791,0,0.5917359591,0.6169843674,1,0.7117366791,0.2900240421,0.3700000048,0,true,0.1670000106
110,18_05_Lead_09,Lead,False,False,True,False,0.3,0.4,0.2,1.0,1,0,0,0.3197224438,0.6549663544,0.374538064,0.7047610879,0.267878592,0,1,0,0,0.680277586,0.5392264724,0.6489471197,0.9395236969,1,0.8254743814,0.5392264724,0.6489471197,0.9395236969,1,0.8254743814,0.5234375,0.421875,0,true,0.2890625
